Customer,Segment,Primary_Rep,Net_Revenue,Total_Invoice_Revenue,Total_Credits,Num_Orders,Avg_Order_Value,Median_Order_Value,Total_Hats_Ordered,Avg_Hats_Per_Order,First_Order_Date,Last_Order_Date,Days_Since_Last_Order,Account_Age_Days,Avg_Days_Between_Orders,Monthly_Revenue,Monthly_Hats,Daily_Hat_Velocity,Days_To_50pct,Recommended_Visit_Days,Hard_Deadline_Days,Next_Visit_Date,Urgency
Ace Hardware/Ridleys-Pinedale #456-000,B - Steady Performers,Unassigned,7562.8,7562.8,0.0,5,1512.56,1440.0,637,127.4,2025-04-18,2026-01-20,17,294,69.25,783.032761904762,65.95333333333333,1.8397111913357402,56.53061224489795,45.0,57.0,2026-03-06,Soon (2-4 weeks)
Locking Horns Riverside Restaurant,B - Steady Performers,Christa VIE,7429.5,8547.0,-1117.5,8,1068.375,768.0,720,90.0,2025-04-03,2026-01-20,17,309,41.714285714285715,731.8899029126214,70.92815533980583,2.1575342465753424,48.2031746031746,38.0,48.0,2026-02-27,Soon (2-4 weeks)
Town Pump - Billings #1-8915,B - Steady Performers,Unassigned,7332.0,7332.0,0.0,7,1047.4285714285713,828.0,617,88.14285714285714,2025-05-28,2026-02-04,2,254,42.0,878.6853543307086,73.9428346456693,2.0986394557823127,49.55591572123177,40.0,50.0,2026-03-16,Upcoming (1-2 months)
Fast Stop #1102,B - Steady Performers,Unassigned,7260.0,7260.0,0.0,6,1210.0,1152.0,612,102.0,2025-04-28,2026-01-22,15,284,53.8,778.1492957746478,65.59605633802816,1.895910780669145,54.85490196078431,44.0,55.0,2026-03-07,Soon (2-4 weeks)
Great Scotts-Eagle:Garden Valley Chevron Store,B - Steady Performers,Bobbi Marshall,7231.5,7824.0,-592.5,5,1564.8,1968.0,659,131.8,2025-04-25,2026-01-13,24,287,65.75,766.992543554007,69.89533101045296,2.0045627376425856,51.88163884673748,41.0,52.0,2026-02-23,Soon (2-4 weeks)
KJ's #80229,B - Steady Performers,Unassigned,7068.0,7272.0,-204.0,5,1454.4,1344.0,612,122.4,2025-04-18,2025-11-17,81,294,53.25,731.8024489795919,63.36489795918367,2.2985915492957747,45.245098039215684,36.0,45.0,2025-12-23,OVERDUE
Wheat Montana,B - Steady Performers,Lamar Helm,6993.0,7656.0,-663.0,6,1276.0,1188.0,645,107.5,2025-04-25,2026-01-28,9,287,55.6,741.6965853658537,68.41045296167248,1.933453237410072,53.78976744186047,43.0,54.0,2026-03-12,Upcoming (1-2 months)
Town Pump - Plains #1 - 3500-1340,B - Steady Performers,Unassigned,6954.0,6954.0,0.0,6,1159.0,1047.0,585,97.5,2025-04-30,2026-01-08,29,282,50.6,750.6374468085106,63.146808510638294,1.9268774703557312,53.973333333333336,43.0,54.0,2026-02-20,Urgent (< 2 weeks)
Valley Country Store Crossroads,B - Steady Performers,Unassigned,6933.0,7332.0,-399.0,5,1466.4,828.0,619,123.8,2025-04-16,2025-12-11,57,296,59.75,712.9747297297297,63.656621621621625,2.0719665271966528,50.19386106623586,40.0,50.0,2026-01-20,OVERDUE
Ace Hardware-McCall #455-000,B - Steady Performers,Unassigned,6882.3,6882.3,0.0,8,860.2875,681.0,579,72.375,2025-05-30,2026-01-28,9,252,34.714285714285715,831.3381428571429,69.9395238095238,2.0848765432098766,49.88304959289415,40.0,50.0,2026-03-09,Upcoming (1-2 months)
Town Pump - Rocker #1 - 5600-1354 *058,B - Steady Performers,Unassigned,6792.0,6792.0,0.0,6,1132.0,942.0,572,95.33333333333333,2025-04-23,2025-12-03,65,289,44.8,715.3926643598617,60.24802768166091,2.1279761904761907,48.87272727272727,39.0,49.0,2026-01-11,OVERDUE
Army Surplus Store,B - Steady Performers,Lamar Helm,6698.0,6972.0,-274.0,4,1743.0,1518.0,587,146.75,2025-06-03,2025-12-02,66,248,60.666666666666664,822.1254838709677,72.04951612903226,2.4189560439560442,42.993753549119816,34.0,43.0,2026-01-05,OVERDUE
Roxy's Market,B - Steady Performers,Lamar Helm,6588.0,6588.0,0.0,4,1647.0,1680.0,555,138.75,2025-05-28,2025-12-05,63,254,63.666666666666664,789.5225196850394,66.51259842519684,2.1793193717277486,47.72132132132133,38.0,48.0,2026-01-12,OVERDUE
Grocery Outlet - Brookings,B - Steady Performers,Unassigned,6583.0,6968.9,-385.9,7,995.5571428571428,817.1999999999999,588,84.0,2025-05-23,2025-12-24,44,259,35.833333333333336,773.6931274131275,69.10702702702703,2.3441860465116275,44.365079365079374,35.0,44.0,2026-01-28,OVERDUE
Valley Country Store Parma,B - Steady Performers,Unassigned,6540.0,6540.0,0.0,5,1308.0,672.0,552,110.4,2025-04-30,2025-12-10,58,282,56.0,705.9489361702127,59.58468085106383,1.9714285714285715,52.7536231884058,42.0,53.0,2026-01-21,OVERDUE
Grocery Outlet - French Valley,B - Steady Performers,Unassigned,6537.599999999999,6537.599999999999,0.0,4,1634.3999999999999,1589.0,551,137.75,2025-05-20,2025-12-03,65,262,65.66666666666667,759.5593282442748,64.0169465648855,2.097715736040609,49.57773744706595,40.0,50.0,2026-01-12,OVERDUE
Town Pump Bozeman #9 - 1096,B - Steady Performers,Unassigned,6454.0,6454.0,0.0,8,806.75,641.0,544,68.0,2025-07-18,2026-01-21,16,203,26.714285714285715,967.7820689655173,81.57320197044335,2.5454545454545454,40.85714285714286,33.0,41.0,2026-02-23,Soon (2-4 weeks)
Grocery Outlet - Placerville,B - Steady Performers,Unassigned,6432.950000000001,7670.1,-1237.15,6,1278.3500000000001,1304.0,647,107.83333333333333,2025-05-30,2026-02-04,2,252,50.0,777.0595158730159,78.15349206349207,2.1566666666666667,48.222565687789796,38.0,48.0,2026-03-14,Upcoming (1-2 months)
Grocery Outlet - Oregon City,B - Steady Performers,Unassigned,6242.5,6514.9,-272.4,5,1302.98,1044.2,549,109.8,2025-04-23,2026-01-06,31,289,64.5,657.5145328719724,57.82546712802769,1.7023255813953488,61.09289617486339,49.0,61.0,2026-02-24,Soon (2-4 weeks)
Town Pump - Three Forks #1 - 0350-1381,B - Steady Performers,Unassigned,6192.0,6192.0,0.0,5,1238.4,1032.0,522,104.4,2025-05-09,2026-02-03,3,273,67.5,690.4193406593407,58.20395604395605,1.5466666666666669,67.24137931034483,54.0,67.0,2026-03-29,Upcoming (1-2 months)
Farwest Sports/ Sportco,B - Steady Performers,Eric Arnold,6187.2,6187.2,0.0,4,1546.8,1706.4,520,130.0,2025-04-11,2026-02-02,4,301,99.0,625.7088637873754,52.587375415282395,1.3131313131313131,79.2,63.0,79.0,2026-04-06,Upcoming (1-2 months)
Town Pump - Bozeman #5 - 1915-1086,B - Steady Performers,Unassigned,6096.0,7884.0,-1788.0,7,1126.2857142857142,1056.0,662,94.57142857142857,2025-04-03,2026-01-22,15,309,49.0,600.5250485436894,65.21449838187704,1.9300291545189503,53.88519637462236,43.0,54.0,2026-03-06,Soon (2-4 weeks)
Valley Wide - Nampa,B - Steady Performers,Unassigned,6072.0,6372.0,-300.0,6,1062.0,1044.0,537,89.5,2025-07-09,2026-01-28,9,212,40.6,871.8475471698114,77.10509433962264,2.2044334975369457,47.17765363128492,38.0,47.0,2026-03-07,Soon (2-4 weeks)
Mountainland One Stop,B - Steady Performers,Andy Coon,5965.5,6144.0,-178.5,5,1228.8,864.0,517,103.4,2025-04-07,2025-12-02,66,305,59.75,595.3764590163935,51.598295081967215,1.7305439330543935,60.09671179883945,48.0,60.0,2026-01-19,OVERDUE
