Customer,Segment,Primary_Rep,Net_Revenue,Total_Invoice_Revenue,Total_Credits,Num_Orders,Avg_Order_Value,Median_Order_Value,Total_Hats_Ordered,Avg_Hats_Per_Order,First_Order_Date,Last_Order_Date,Days_Since_Last_Order,Account_Age_Days,Avg_Days_Between_Orders,Monthly_Revenue,Monthly_Hats,Daily_Hat_Velocity,Days_To_50pct,Recommended_Visit_Days,Hard_Deadline_Days,Next_Visit_Date,Urgency
Grocery Outlet - Lebanon,C - Moderate Movers,Unassigned,3398.45,3546.0,-147.55,2,1773.0,1773.0,299,149.5,2025-04-02,2026-01-12,25,310,285.0,333.705864516129,29.359870967741937,0.5245614035087719,198.2608695652174,158.0,198.0,2026-06-19,On Track
Stokes Market - Preston ID,C - Moderate Movers,Unassigned,3387.8,3461.3,-73.5,2,1730.65,1730.65,291,145.5,2025-04-09,2025-11-26,72,303,231.0,340.3453201320132,29.234455445544558,0.6298701298701299,165.11340206185565,132.0,165.0,2026-04-07,Upcoming (1-2 months)
Grocery Outlet - Big Bear Lake,C - Moderate Movers,Unassigned,3382.3,3382.3,0.0,2,1691.15,1691.15,285,142.5,2025-06-27,2026-01-21,16,224,208.0,459.63041071428574,38.729464285714286,0.6850961538461539,151.8035087719298,121.0,152.0,2026-05-22,On Track
Rex's Market,C - Moderate Movers,Lamar Helm,3336.0,3600.0,-264.0,2,1800.0,1800.0,303,151.5,2025-05-09,2025-09-18,141,273,132.0,371.97010989010994,33.785054945054945,1.1477272727272727,90.61386138613861,72.0,91.0,2025-11-29,OVERDUE
Grocery Outlet - Veneta,C - Moderate Movers,Unassigned,3268.7999999999997,3268.7999999999997,0.0,2,1634.3999999999999,1634.3999999999999,276,138.0,2025-07-29,2025-12-03,65,192,127.0,518.241,43.7575,1.0866141732283465,95.71014492753622,76.0,96.0,2026-02-17,Urgent (< 2 weeks)
Allyn Market,C - Moderate Movers,Eric Arnold,3264.0,3264.0,0.0,2,1632.0,1632.0,275,137.5,2025-06-02,2025-11-10,88,249,161.0,399.02072289156627,33.61847389558233,0.8540372670807453,121.77454545454546,97.0,122.0,2026-02-15,Urgent (< 2 weeks)
Buck Horn Travel Plaza,C - Moderate Movers,Merlin Gleed,3192.0,3192.0,0.0,2,1596.0,1596.0,269,134.5,2025-06-25,2025-10-30,99,226,127.0,429.9313274336283,36.2316814159292,1.0590551181102361,98.2007434944238,78.0,98.0,2026-01-16,OVERDUE
Hurst Ace Hardware,C - Moderate Movers,InHouse Orders,3168.0,3168.0,0.0,2,1584.0,1584.0,267,133.5,2025-06-20,2025-11-12,86,231,145.0,417.46285714285716,35.1838961038961,0.9206896551724137,112.95880149812734,90.0,113.0,2026-02-10,Urgent (< 2 weeks)
Northwest Farm Supply,C - Moderate Movers,Merlin Gleed,3144.0,3144.0,0.0,2,1572.0,1572.0,264,132.0,2025-07-09,2025-11-26,72,212,140.0,451.43094339622644,37.90641509433962,0.9428571428571428,110.30303030303031,88.0,110.0,2026-02-22,Soon (2-4 weeks)
Grocery Outlet - Baker City,C - Moderate Movers,Unassigned,3087.2,3087.2,0.0,3,1029.0666666666666,1089.6,260,86.66666666666667,2025-05-22,2026-01-28,9,260,125.5,361.4398769230769,30.439999999999998,0.6905710491367862,150.6,120.0,151.0,2026-05-28,On Track
Fast Stop #1115,C - Moderate Movers,Unassigned,3072.0,3072.0,0.0,2,1536.0,1536.0,259,129.5,2025-06-24,2025-11-10,88,227,139.0,411.9457268722467,34.7311013215859,0.9316546762589928,111.62934362934364,89.0,112.0,2026-02-07,Urgent (< 2 weeks)
Town And Country Supply-Bridger,C - Moderate Movers,Unassigned,2976.0,2976.0,0.0,2,1488.0,1488.0,250,125.0,2025-05-27,2026-01-29,8,255,247.0,355.252705882353,29.84313725490196,0.5060728744939271,205.504,164.0,206.0,2026-07-12,On Track
Fast Gas #11,C - Moderate Movers,Unassigned,2940.0,3072.0,-132.0,2,1536.0,1536.0,259,129.5,2025-05-23,2026-01-23,14,259,245.0,345.53513513513514,30.44,0.5285714285714286,196.75675675675674,157.0,197.0,2026-06-29,On Track
Kellys Convenience Center,C - Moderate Movers,Unassigned,2928.0,2952.0,-24.0,2,1476.0,1476.0,249,124.5,2025-04-02,2025-09-26,133,310,177.0,287.51070967741936,24.450193548387098,0.7033898305084746,147.85542168674698,118.0,148.0,2026-01-22,OVERDUE
Spoko Fuel,C - Moderate Movers,Ann Wheelock,2928.0,2928.0,0.0,2,1464.0,1464.0,247,123.5,2025-06-03,2025-11-11,87,248,161.0,359.3883870967742,30.31725806451613,0.7670807453416149,135.57894736842107,108.0,136.0,2026-02-27,Soon (2-4 weeks)
Grocery Outlet - Red Bluff,C - Moderate Movers,Unassigned,2905.6,2905.6,0.0,2,1452.8,1452.8,244,122.0,2025-06-03,2026-01-28,9,248,239.0,356.63896774193546,29.949032258064516,0.5104602510460251,203.7377049180328,163.0,204.0,2026-07-10,On Track
Shady Acres,C - Moderate Movers,Bobbi Marshall,2905.5,4704.0,-1798.5,3,1568.0,1920.0,397,132.33333333333334,2025-05-16,2026-01-23,14,266,126.0,332.49406015037596,45.43112781954887,1.0502645502645502,99.02267002518892,79.0,99.0,2026-04-12,On Track
Watsons Market,C - Moderate Movers,Unassigned,2904.0,2904.0,0.0,2,1452.0,1452.0,245,122.5,2025-04-15,2025-10-08,121,297,176.0,297.6355555555556,25.11043771043771,0.6960227272727273,149.4204081632653,119.0,149.0,2026-02-04,OVERDUE
Grocery Outlet - El Centro,C - Moderate Movers,Unassigned,2814.7999999999997,2814.7999999999997,0.0,2,1407.3999999999999,1407.3999999999999,237,118.5,2025-06-20,2025-10-13,116,231,115.0,370.91996536796535,31.23064935064935,1.0304347826086957,100.92827004219409,81.0,101.0,2026-01-02,OVERDUE
Good2Go #213,C - Moderate Movers,Unassigned,2784.0,2784.0,0.0,2,1392.0,1392.0,234,117.0,2025-06-25,2025-10-27,102,226,124.0,374.9776991150443,31.51752212389381,0.9435483870967742,110.22222222222221,88.0,110.0,2026-01-23,OVERDUE
Whammers Enterprises 1 LLC (Sinclair),C - Moderate Movers,InHouse Orders,2784.0,2784.0,0.0,2,1392.0,1392.0,234,117.0,2025-06-20,2025-11-11,87,231,144.0,366.8612987012987,30.835324675324678,0.8125,128.0,102.0,128.0,2026-02-21,Soon (2-4 weeks)
Quinns Hot Springs Resort,C - Moderate Movers,Ann Wheelock,2760.0,2760.0,0.0,2,1380.0,1380.0,232,116.0,2025-04-11,2025-09-17,142,301,159.0,279.11760797342197,23.462059800664456,0.7295597484276729,142.55172413793105,114.0,143.0,2026-01-09,OVERDUE
Grocery Outlet- Desert Hot Springs,C - Moderate Movers,Unassigned,2735.35,2814.7999999999997,-79.45,2,1407.3999999999999,1407.3999999999999,237,118.5,2025-06-20,2026-01-26,11,231,220.0,360.45045021645024,31.23064935064935,0.5386363636363637,193.0801687763713,154.0,193.0,2026-06-29,On Track
Grocery Outlet - Lake Forest,C - Moderate Movers,Unassigned,2724.0,2724.0,0.0,2,1362.0,1362.0,229,114.5,2025-06-27,2025-10-29,100,224,124.0,370.1721428571429,31.119464285714287,0.9233870967741935,112.62882096069869,90.0,113.0,2026-01-27,OVERDUE
Allied Gardens,C - Moderate Movers,Unassigned,2723.9999999999995,2723.9999999999995,0.0,2,1361.9999999999998,1361.9999999999998,230,115.0,2025-06-13,2025-10-13,116,238,122.0,348.3973109243697,29.416806722689078,0.9426229508196722,110.33043478260869,88.0,110.0,2026-01-09,OVERDUE
Parkland On The Run #80126,C - Moderate Movers,Unassigned,2712.0,2712.0,0.0,2,1356.0,1356.0,229,114.5,2025-05-05,2025-11-11,87,277,190.0,298.02628158844766,25.16519855595668,0.6026315789473684,172.5764192139738,138.0,173.0,2026-03-29,Upcoming (1-2 months)
Grocery Outlet - Emmett,C - Moderate Movers,Unassigned,2709.7,2973.7,-264.0,2,1486.85,1486.85,251,125.5,2025-06-27,2025-11-11,87,224,137.0,368.228875,34.10910714285715,0.916058394160584,113.52988047808765,91.0,114.0,2026-02-10,Urgent (< 2 weeks)
Ace Hardware - Anderson CA,C - Moderate Movers,Paula Hemmen,2688.0,2688.0,0.0,2,1344.0,1344.0,226,113.0,2025-06-13,2026-02-03,3,238,235.0,343.7929411764706,28.905210084033616,0.4808510638297872,216.28318584070797,173.0,216.0,2026-07-26,On Track
Ace Hardware Wingfield,C - Moderate Movers,Matthew  Jorgensen,2688.0,2688.0,0.0,2,1344.0,1344.0,226,113.0,2025-06-27,2025-11-13,85,224,139.0,365.28000000000003,30.711785714285718,0.8129496402877698,127.929203539823,102.0,128.0,2026-02-23,Soon (2-4 weeks)
Broulim's St. Anthony,C - Moderate Movers,Unassigned,2634.0,3168.0,-534.0,3,1056.0,864.0,267,89.0,2025-04-25,2026-01-09,28,287,129.5,279.3691986062718,28.318745644599307,0.6872586872586872,151.32584269662922,121.0,151.0,2026-05-10,On Track
Country Corner,C - Moderate Movers,Lamar Helm,2592.0,2592.0,0.0,2,1296.0,1296.0,219,109.5,2025-05-20,2025-11-25,73,262,189.0,301.1468702290076,25.44412213740458,0.5793650793650794,179.50684931506848,143.0,180.0,2026-04-17,On Track
Davis Foods,C - Moderate Movers,InHouse Orders,2592.0,2592.0,0.0,2,1296.0,1296.0,219,109.5,2025-06-20,2025-11-10,88,231,143.0,341.5605194805195,28.858701298701302,0.7657342657342657,135.81735159817353,108.0,136.0,2026-02-26,Soon (2-4 weeks)
Grocery Outlet - Beaverton,C - Moderate Movers,Unassigned,2542.3999999999996,2542.3999999999996,0.0,2,1271.1999999999998,1271.1999999999998,214,107.0,2025-06-30,2025-12-01,67,221,154.0,350.18396380090496,29.4758371040724,0.6948051948051948,149.6822429906542,119.0,150.0,2026-03-30,Upcoming (1-2 months)
Ace Hardware - Jackson WY,C - Moderate Movers,Lamar Helm,2496.0,4488.0,-1992.0,2,2244.0,2244.0,378,189.0,2025-04-25,2025-11-17,81,287,206.0,264.732543554007,40.09170731707317,0.9174757281553398,113.35449735449735,90.0,113.0,2026-02-15,Urgent (< 2 weeks)
"Great smoky Mountain, Bait & Tackle",C - Moderate Movers,JADEN BLACK,2496.0,4416.0,-1920.0,2,2208.0,2208.0,372,186.0,2025-08-04,2026-02-02,4,186,182.0,408.4851612903226,60.88,1.021978021978022,101.76344086021506,81.0,102.0,2026-04-24,On Track
Grocery Outlet - Roseburg,C - Moderate Movers,Unassigned,2485.65,3632.0,-1146.35,2,1816.0,1816.0,306,153.0,2025-05-13,2026-01-05,32,269,237.0,281.27578438661715,34.62691449814127,0.6455696202531646,161.09803921568627,129.0,161.0,2026-05-14,On Track
Miners Trading Post,C - Moderate Movers,Andy Coon,2424.0,2784.0,-360.0,2,1392.0,1392.0,234,117.0,2025-05-23,2025-10-07,122,259,137.0,284.8901930501931,27.501776061776063,0.8540145985401459,121.77777777777779,97.0,122.0,2026-01-12,OVERDUE
Broulim's Thayne,C - Moderate Movers,Unassigned,2400.0,2568.0,-168.0,2,1284.0,1284.0,216,108.0,2025-05-09,2025-11-17,81,273,192.0,267.6043956043956,24.084395604395606,0.5625,184.88888888888889,148.0,185.0,2026-04-14,On Track
L&P Grocery,C - Moderate Movers,Lamar Helm,2352.0,2352.0,0.0,2,1176.0,1176.0,198,99.0,2025-05-06,2025-11-14,84,276,192.0,259.4017391304348,21.837391304347825,0.515625,201.6969696969697,161.0,202.0,2026-04-24,On Track
Harts Gas & Food 80182,C - Moderate Movers,Unassigned,2304.0,2304.0,0.0,2,1152.0,1152.0,194,97.0,2025-05-21,2025-11-19,79,261,182.0,268.71172413793107,22.625900383141765,0.532967032967033,195.1340206185567,156.0,195.0,2026-04-24,On Track
Ace Hardware-Blackfoot #457-023,C - Moderate Movers,Unassigned,2227.0,3750.2999999999997,-1523.3,3,1250.1,1089.6,316,105.33333333333333,2025-04-03,2025-12-22,46,309,131.5,219.38472491909388,31.129579288025894,0.8010139416983523,129.8354430379747,104.0,130.0,2026-04-05,Upcoming (1-2 months)
Town Pump - Great Falls #2 - 1213,C - Moderate Movers,Unassigned,2208.0,2208.0,0.0,2,1104.0,1104.0,186,93.0,2025-05-07,2025-11-11,87,275,188.0,244.40552727272728,20.588509090909092,0.4946808510638298,210.23655913978493,168.0,210.0,2026-04-28,On Track
Winners Corner,C - Moderate Movers,Andy Coon,2202.0,2802.0,-600.0,3,934.0,576.0,237,79.0,2025-05-13,2026-01-19,18,269,125.5,249.17799256505577,26.818884758364316,0.6294820717131474,165.21518987341773,132.0,165.0,2026-05-31,On Track
Enterprise Sinclair Gas,C - Moderate Movers,Jason Black,2196.0,2304.0,-108.0,2,1152.0,1152.0,194,97.0,2025-06-03,2025-11-20,78,248,170.0,269.5412903225806,23.81193548387097,0.5705882352941176,182.2680412371134,145.0,182.0,2026-04-14,On Track
Grocery Outlet - Santee,C - Moderate Movers,Unassigned,2179.2,2179.2,0.0,2,1089.6,1089.6,183,91.5,2025-05-23,2025-11-26,72,259,187.0,256.11910424710425,21.50779922779923,0.4893048128342246,212.54644808743168,170.0,213.0,2026-05-15,On Track
Town Pump - Eureka #1 - 2300-1191,C - Moderate Movers,Unassigned,2104.0,2104.0,0.0,2,1052.0,1052.0,177,88.5,2025-04-11,2025-11-10,88,301,213.0,212.77661129568108,17.899933554817277,0.4154929577464789,250.3050847457627,200.0,250.0,2026-05-29,On Track
Zamzows-Overland,C - Moderate Movers,Unassigned,2092.5,3132.0,-1039.5,2,1566.0,1566.0,264,132.0,2025-08-06,2026-01-13,24,184,160.0,346.17228260869564,43.67478260869565,0.825,126.06060606060606,101.0,126.0,2026-04-24,On Track
McKay's Market-Lincoln City,C - Moderate Movers,Unassigned,2088.0,2088.0,0.0,2,1044.0,1044.0,176,88.0,2025-04-09,2025-11-25,73,303,230.0,209.76475247524755,17.6813201320132,0.3826086956521739,271.8181818181818,217.0,272.0,2026-06-30,On Track
Parkland On The Run #80143,C - Moderate Movers,Unassigned,2056.5,2592.0,-535.5,2,1296.0,1296.0,219,109.5,2025-04-16,2025-08-08,182,296,114.0,211.4860135135135,22.521486486486488,0.9605263157894737,108.27397260273973,86.0,108.0,2025-11-02,OVERDUE
Nampa Grocery Outlet,C - Moderate Movers,Unassigned,2010.8999999999999,2678.6,-667.7,2,1339.3,1339.3,225,112.5,2025-07-07,2025-11-03,95,214,119.0,286.036429906542,32.004672897196265,0.9453781512605042,110.00888888888889,88.0,110.0,2026-01-30,OVERDUE
A-1 Smoke Shop,C - Moderate Movers,Ann Wheelock,1992.0,1992.0,0.0,2,996.0,996.0,168,84.0,2025-07-09,2025-11-13,85,212,127.0,286.0211320754717,24.122264150943398,0.6614173228346457,157.23809523809524,125.0,157.0,2026-03-18,Upcoming (1-2 months)
Town And Country Supply-E. Laurel,C - Moderate Movers,Unassigned,1968.0,1968.0,0.0,2,984.0,984.0,166,83.0,2025-06-02,2025-10-10,119,249,130.0,240.58602409638556,20.293333333333333,0.6384615384615384,162.89156626506025,130.0,163.0,2026-02-17,Urgent (< 2 weeks)
KJ's #80213,C - Moderate Movers,Unassigned,1956.0,2304.0,-348.0,2,1152.0,1152.0,195,97.5,2025-06-02,2026-01-08,29,249,220.0,239.11903614457833,23.838554216867472,0.4431818181818182,234.66666666666666,187.0,235.0,2026-07-14,On Track
Stewart’s Market,C - Moderate Movers,Unassigned,1922.85,2252.0,-329.15,2,1126.0,1126.0,189,94.5,2025-05-22,2026-01-29,8,260,252.0,225.1213615384615,22.12753846153846,0.375,277.3333333333333,221.0,277.0,2026-09-07,On Track
Sierra Market - Gates,C - Moderate Movers,Elijah Benedick,1896.0,1896.0,0.0,2,948.0,948.0,160,80.0,2025-04-11,2025-11-25,73,301,228.0,191.74166112956812,16.18073089700997,0.3508771929824561,296.40000000000003,237.0,296.0,2026-07-20,On Track
Valley Wide Coop. Grandview,C - Moderate Movers,Unassigned,1884.0,1884.0,0.0,2,942.0,942.0,159,79.5,2025-04-18,2025-12-02,66,294,228.0,195.06448979591838,16.462448979591837,0.34868421052631576,298.26415094339626,238.0,298.0,2026-07-28,On Track
M&W Marsing,C - Moderate Movers,Unassigned,1836.0,2592.0,-756.0,2,1296.0,1296.0,218,109.0,2025-07-09,2026-01-23,14,212,198.0,263.62188679245287,31.301509433962266,0.5505050505050505,188.91743119266056,151.0,189.0,2026-06-23,On Track
Zamzows-Chinden,C - Moderate Movers,Unassigned,1819.5,3132.0,-1312.5,2,1566.0,1566.0,264,132.0,2025-08-06,2025-12-17,51,184,133.0,301.00858695652175,43.67478260869565,0.9924812030075187,104.7878787878788,84.0,105.0,2026-03-11,Upcoming (1-2 months)
Fairview Grocery Outlet,C - Moderate Movers,Unassigned,1815.9999999999995,2655.8999999999996,-839.9,2,1327.9499999999998,1327.9499999999998,224,112.0,2025-08-27,2025-12-23,45,163,118.0,339.1352147239263,41.83165644171779,0.9491525423728814,109.57142857142857,87.0,110.0,2026-03-20,Upcoming (1-2 months)
Capis,C - Moderate Movers,InStore - Andy Coon,1804.5,1920.0,-115.5,2,960.0,960.0,162,81.0,2025-07-01,2026-02-02,4,220,216.0,249.67718181818182,22.41490909090909,0.375,277.3333333333333,221.0,277.0,2026-09-11,On Track
Grocery Outlet - Scappoose,C - Moderate Movers,Unassigned,1793.3,1793.3,0.0,2,896.65,896.65,151,75.5,2025-05-12,2025-10-16,113,270,157.0,202.17797037037036,17.023851851851852,0.48089171974522293,216.26490066225165,173.0,216.0,2026-04-07,Upcoming (1-2 months)
RALLYSTOP 11 - SANTAQUIN,C - Moderate Movers,Unassigned,1791.0,2496.0,-705.0,2,1248.0,1248.0,210,105.0,2025-08-20,2026-01-23,14,170,156.0,320.6943529411765,37.60235294117647,0.6730769230769231,154.5142857142857,123.0,155.0,2026-05-26,On Track
Wag A Bag,C - Moderate Movers,JADEN BLACK,1752.0,1752.0,0.0,2,876.0,876.0,147,73.5,2025-08-04,2026-02-02,4,186,182.0,286.7251612903226,24.05741935483871,0.40384615384615385,257.5238095238095,206.0,258.0,2026-08-27,On Track
Hawks on The Fly,C - Moderate Movers,Bobbi Marshall,1728.0,1728.0,0.0,2,864.0,864.0,145,72.5,2025-05-27,2025-10-22,107,255,148.0,206.27576470588238,17.309019607843137,0.48986486486486486,212.30344827586208,169.0,212.0,2026-04-09,On Track
Rosebud Foods,C - Moderate Movers,Lamar Helm,1728.0,1728.0,0.0,2,864.0,864.0,145,72.5,2025-05-23,2025-11-24,74,259,185.0,203.09003861003862,17.041698841698842,0.3918918918918919,265.3793103448276,212.0,265.0,2026-06-24,On Track
Simerly's,C - Moderate Movers,Bobbi Marshall,1728.0,1728.0,0.0,2,864.0,864.0,145,72.5,2025-04-25,2025-10-07,122,287,165.0,183.27637630662022,15.379094076655054,0.4393939393939394,236.6896551724138,189.0,237.0,2026-04-14,On Track
The Dalles Hatt's 76 Fuel,C - Moderate Movers,Unassigned,1656.0,1656.0,0.0,2,828.0,828.0,139,69.5,2025-04-11,2025-12-02,66,301,235.0,167.47056478405318,14.057009966777409,0.2957446808510638,351.6546762589928,281.0,352.0,2026-09-09,On Track
Grocery Outlet - Milpitas,C - Moderate Movers,Unassigned,1634.3999999999999,1634.3999999999999,0.0,2,817.1999999999999,817.1999999999999,137,68.5,2025-06-06,2025-12-22,46,245,199.0,203.0658612244898,17.021551020408165,0.3442211055276382,302.1313868613139,241.0,302.0,2026-08-20,On Track
Sinclair Station - Evanston,C - Moderate Movers,Merlin Gleed,1632.0,1632.0,0.0,2,816.0,816.0,137,68.5,2025-07-28,2026-01-05,32,193,161.0,257.39937823834197,21.607668393782383,0.4254658385093168,244.43795620437956,195.0,244.0,2026-07-19,On Track
Ace Hardware-Middleton #457-004,C - Moderate Movers,Unassigned,1615.9,2156.0,-540.1,3,718.6666666666666,672.0,182,60.666666666666664,2025-04-16,2026-01-22,15,296,140.5,166.17566216216218,18.716486486486488,0.431791221826809,240.85714285714286,192.0,241.0,2026-08-02,On Track
Old Snowmass Market,C - Moderate Movers,Andy Coon,1596.0,1692.0,-96.0,2,846.0,846.0,143,71.5,2025-05-21,2025-12-01,67,261,194.0,186.13885057471265,16.67785440613027,0.36855670103092786,282.1818181818182,225.0,282.0,2026-07-14,On Track
Good2Go #119,C - Moderate Movers,Unassigned,1500.0,1500.0,0.0,2,750.0,750.0,127,63.5,2025-07-22,2025-12-02,66,199,133.0,229.44723618090453,19.426532663316582,0.4774436090225564,217.82677165354332,174.0,218.0,2026-05-25,On Track
Town Pump Superior #1374,C - Moderate Movers,Unassigned,1485.0,2376.0,-891.0,2,1188.0,1188.0,201,100.5,2025-06-09,2025-10-21,108,242,134.0,186.7909090909091,25.282809917355372,0.75,138.66666666666666,111.0,139.0,2026-02-09,Urgent (< 2 weeks)
Bevens Market,C - Moderate Movers,Eric Arnold,1407.0,1407.0,0.0,2,703.5,703.5,119,59.5,2025-04-11,2025-12-18,50,301,251.0,142.28930232558142,12.034418604651163,0.23705179282868527,438.7226890756302,350.0,439.0,2026-12-03,On Track
Auto Hardware Farm Ranch,C - Moderate Movers,Andy Coon,1344.0,3264.0,-1920.0,2,1632.0,1632.0,275,137.5,2025-06-03,2025-12-02,66,248,182.0,164.96516129032258,33.75403225806451,0.7554945054945055,137.65818181818182,110.0,138.0,2026-03-22,Upcoming (1-2 months)
Silver City RV Resort,C - Moderate Movers,Matthew  Jorgensen,1344.0,1632.0,-288.0,2,816.0,816.0,137,68.5,2025-06-19,2025-11-26,72,232,160.0,176.34206896551726,17.97534482758621,0.428125,242.9197080291971,194.0,243.0,2026-06-08,On Track
Skyway - Robbinsville,C - Moderate Movers,JADEN BLACK,1344.0,2016.0,-672.0,2,1008.0,1008.0,170,85.0,2025-08-04,2026-02-02,4,186,182.0,219.9535483870968,27.82150537634409,0.46703296703296704,222.68235294117648,178.0,223.0,2026-07-30,On Track
Valley Country Store Salmon,C - Moderate Movers,Unassigned,1308.0,1308.0,0.0,2,654.0,654.0,110,55.0,2025-07-29,2025-12-15,53,192,139.0,207.3725,17.439583333333335,0.39568345323741005,262.83636363636367,210.0,263.0,2026-07-13,On Track
M&W Market-Filer,C - Moderate Movers,Unassigned,1294.5,1536.0,-241.5,2,768.0,768.0,130,65.0,2025-06-19,2025-12-12,56,232,176.0,169.84732758620692,17.05689655172414,0.3693181818181818,281.6,225.0,282.0,2026-07-25,On Track
Food Mart 12,C - Moderate Movers,InStore - Andy Coon,1284.0,1536.0,-252.0,2,768.0,768.0,129,64.5,2025-06-16,2026-02-02,4,235,231.0,166.31897872340426,16.709617021276596,0.2792207792207792,372.4651162790698,297.0,372.0,2026-11-26,On Track
M&W Market Fruitland,C - Moderate Movers,Unassigned,1273.5,2856.0,-1582.5,2,1428.0,1428.0,240,120.0,2025-06-13,2025-12-19,49,238,189.0,162.87957983193277,30.695798319327732,0.6349206349206349,163.8,131.0,164.0,2026-04-29,On Track
Good2Go #203,C - Moderate Movers,Unassigned,1248.0,1248.0,0.0,2,624.0,624.0,105,52.5,2025-06-02,2025-10-29,100,249,149.0,152.56674698795183,12.836144578313254,0.3523489932885906,295.1619047619048,236.0,295.0,2026-06-22,On Track
Dixie Nutrition (St. George),C - Moderate Movers,InHouse Orders,1206.0,2112.0,-906.0,2,1056.0,1056.0,178,89.0,2025-04-30,2025-11-12,86,282,196.0,130.1795744680851,19.213900709219857,0.45408163265306123,229.03370786516854,183.0,229.0,2026-05-14,On Track
Good2Go #204,C - Moderate Movers,Unassigned,1152.0,1152.0,0.0,2,576.0,576.0,97,48.5,2025-06-25,2026-01-07,30,226,196.0,155.16318584070797,13.06495575221239,0.24744897959183673,420.2886597938144,335.0,420.0,2026-12-08,On Track
Grocery Outlet - Lakeside,C - Moderate Movers,Unassigned,1089.6,3087.2,-1997.6,2,1543.6,1543.6,260,130.0,2025-05-23,2025-09-29,130,259,129.0,128.05955212355212,30.55752895752896,1.0077519379844961,103.2,82.0,103.0,2025-12-20,OVERDUE
On the Fly-Avimor,C - Moderate Movers,Bobbi Marshall,1089.0,1656.0,-567.0,2,828.0,828.0,139,69.5,2025-04-15,2025-11-11,87,297,210.0,111.61333333333334,14.246329966329968,0.33095238095238094,314.24460431654677,251.0,314.0,2026-07-20,On Track
Hart's 80195,C - Moderate Movers,Unassigned,1087.5,1632.0,-544.5,2,816.0,816.0,137,68.5,2025-06-20,2025-11-11,87,231,144.0,143.30519480519482,18.053160173160173,0.4756944444444444,218.6277372262774,174.0,219.0,2026-05-04,On Track
One Stop #80,C - Moderate Movers,Unassigned,1056.0,1056.0,0.0,2,528.0,528.0,89,44.5,2025-07-09,2025-12-11,57,212,155.0,151.62566037735849,12.779056603773586,0.2870967741935484,362.24719101123594,289.0,362.0,2026-09-26,On Track
Play It Again Sports,C - Moderate Movers,Bobbi Marshall,1032.0,1104.0,-72.0,2,552.0,552.0,93,46.5,2025-07-07,2025-12-18,50,214,164.0,146.79476635514018,13.228598130841123,0.28353658536585363,366.7956989247312,293.0,367.0,2026-10-07,On Track
Parks Feed & Merchantile,C - Moderate Movers,Linnzy Foster,996.0,996.0,0.0,2,498.0,498.0,84,42.0,2025-04-09,2025-09-04,155,303,148.0,100.06019801980199,8.43881188118812,0.28378378378378377,366.4761904761905,292.0,366.0,2026-06-23,On Track
Good2Go #523,C - Moderate Movers,Unassigned,936.0,1416.0,-480.0,2,708.0,708.0,120,60.0,2025-06-30,2025-11-24,74,221,147.0,128.92235294117648,16.52850678733032,0.40816326530612246,254.79999999999998,203.0,255.0,2026-06-15,On Track
Town And Country Supply-S. Laurel,C - Moderate Movers,Unassigned,777.0,1344.0,-567.0,2,672.0,672.0,114,57.0,2025-04-15,2026-01-29,8,297,289.0,79.6359595959596,11.684040404040404,0.1972318339100346,527.2982456140351,421.0,527.0,2027-03-26,On Track
Kamas Valley Co-Op,C - Moderate Movers,Andy Coon,583.5,1884.0,-1300.5,2,942.0,942.0,159,79.5,2025-05-19,2025-12-01,67,263,196.0,67.53513307984791,18.402889733840304,0.40561224489795916,256.4025157232704,205.0,256.0,2026-06-24,On Track
Essential Fuels #3,C - Moderate Movers,Unassigned,564.0,2616.0,-2052.0,2,1308.0,1308.0,220,110.0,2025-05-27,2025-09-11,148,255,107.0,67.32611764705882,26.26196078431373,1.02803738317757,101.16363636363637,81.0,101.0,2025-12-01,OVERDUE
Edward's Grocery,C - Moderate Movers,InStore - Andy Coon,463.5,1152.0,-688.5,2,576.0,576.0,97,48.5,2025-05-05,2026-01-30,7,277,270.0,50.93480144404332,10.659494584837546,0.17962962962962964,578.9690721649484,462.0,579.0,2027-05-07,On Track
Sidney Service Mart,C - Moderate Movers,JADEN BLACK,225.0,960.0,-735.0,2,480.0,480.0,81,40.5,2025-06-24,2026-02-02,4,227,223.0,30.171806167400884,10.861850220264317,0.18161434977578475,572.641975308642,457.0,573.0,2027-05-05,On Track
Mel HQ,C - Moderate Movers,- Unassigned -,108.0,108.0,0.0,2,54.0,54.0,9,4.5,2025-08-01,2026-02-04,2,189,187.0,17.394285714285715,1.4495238095238097,0.02406417112299465,4321.777777777778,3449.0,4322.0,2035-07-16,On Track
Kellys Hitching Post,D - Low & Slow,Unassigned,7644.0,7908.0,-264.0,10,790.8,624.0,667,66.7,2025-04-02,2026-01-06,31,310,31.0,750.5914838709677,65.49509677419356,2.1516129032258067,48.33583208395802,39.0,48.0,2026-02-14,Urgent (< 2 weeks)
Sam Patch Co. Grocer & Sundries LLC,D - Low & Slow,Lamar Helm,7452.0,7452.0,0.0,10,745.2,624.0,627,62.7,2025-04-16,2026-01-07,30,296,29.555555555555557,766.3475675675676,64.47932432432432,2.1214285714285714,49.023569023569024,39.0,49.0,2026-02-15,Urgent (< 2 weeks)
