Customer,Segment,Primary_Rep,Net_Revenue,Visit_Every_Days,Hard_Deadline_Days,Visits_Per_Year,Visit_Cadence,Daily_Hat_Velocity
Nez Perce Phillips 66,D - Low & Slow,Decker Larson,1338.0,77.0,96.0,4.7,Quarterly (61-90 days),1.08130081300813
Tillamook Sporting Goods,C - Moderate Movers,Eric Arnold,4800.0,77.0,97.0,4.7,Quarterly (61-90 days),1.0773333333333333
Good2Go #105,D - Low & Slow,Unassigned,2248.5,77.0,96.0,4.7,Quarterly (61-90 days),1.0795698924731183
Town Pump - Columbus #1 - 5100-1151,B - Steady Performers,Unassigned,3726.0,77.0,96.0,4.7,Quarterly (61-90 days),1.08
Rays Oasis,E - New / One-Time,Lamar Helm,828.0,77.0,97.0,4.7,Quarterly (61-90 days),1.0769230769230769
Grocery Outlet - Pendleton,B - Steady Performers,Unassigned,2746.7000000000003,77.0,97.0,4.7,Quarterly (61-90 days),1.0772727272727274
Fast Stop #1132,D - Low & Slow,Unassigned,1824.0,77.0,97.0,4.7,Quarterly (61-90 days),1.0717299578059072
Parkland Store #80206,D - Low & Slow,Unassigned,3624.0,77.0,97.0,4.7,Quarterly (61-90 days),1.0714285714285714
Mariner Market,D - Low & Slow,Elijah Benedick,3168.0,77.0,96.0,4.7,Quarterly (61-90 days),1.0783783783783785
Parkland #80231,D - Low & Slow,Unassigned,3840.0,77.0,96.0,4.7,Quarterly (61-90 days),1.0814732142857142
Zamzows - Lake Hazel,E - New / One-Time,Unassigned,2304.0,77.0,96.0,4.7,Quarterly (61-90 days),1.0837988826815643
Buck Horn Travel Plaza,C - Moderate Movers,Merlin Gleed,3192.0,78.0,98.0,4.7,Quarterly (61-90 days),1.0590551181102361
Grocery Outlet - La Habra,B - Steady Performers,Unassigned,3631.9999999999995,78.0,98.0,4.7,Quarterly (61-90 days),1.0625
Huckle & Sage,D - Low & Slow,Decker Larson,2292.0,78.0,98.0,4.7,Quarterly (61-90 days),1.059090909090909
Grocery Outlet - West Redding,B - Steady Performers,Unassigned,3824.95,78.0,98.0,4.7,Quarterly (61-90 days),1.0574712643678161
Zamzows-Fairview,E - New / One-Time,Unassigned,760.5,79.0,99.0,4.6,Quarterly (61-90 days),1.0543478260869565
Zamzows-Nampa,E - New / One-Time,Unassigned,1317.0,79.0,99.0,4.6,Quarterly (61-90 days),1.0543478260869565
Zamzows-State,E - New / One-Time,Unassigned,2304.0,79.0,99.0,4.6,Quarterly (61-90 days),1.0543478260869565
Parkland On The Run #80159,B - Steady Performers,Unassigned,3037.5,79.0,99.0,4.6,Quarterly (61-90 days),1.049122807017544
Shady Acres,C - Moderate Movers,Bobbi Marshall,2905.5,79.0,99.0,4.6,Quarterly (61-90 days),1.0502645502645502
Digby's Market,C - Moderate Movers,Jason Black,3456.0,79.0,99.0,4.6,Quarterly (61-90 days),1.0467625899280575
Delta Jubilee Foods,D - Low & Slow,Jason Black,2208.0,79.0,100.0,4.6,Quarterly (61-90 days),1.0449438202247192
Essential Fuels #2,B - Steady Performers,Unassigned,2352.0,79.0,98.0,4.6,Quarterly (61-90 days),1.0560747663551402
Jack's Travel Plaza,D - Low & Slow,Bobbi Marshall,2242.0,79.0,99.0,4.6,Quarterly (61-90 days),1.0461538461538462
Town And Country Supply- Frontage Rd,D - Low & Slow,Unassigned,2710.5,79.0,98.0,4.6,Quarterly (61-90 days),1.0565302144249513
Bo's Barn,D - Low & Slow,Decker Larson,3376.5,79.0,99.0,4.6,Quarterly (61-90 days),1.0540856031128405
Zamzows-Watertower,E - New / One-Time,Unassigned,823.5,79.0,99.0,4.6,Quarterly (61-90 days),1.0543478260869565
Exxon Jifi Stop Prairie Ave,D - Low & Slow,Ann Wheelock,3396.0,80.0,101.0,4.6,Quarterly (61-90 days),1.0343580470162748
Tiger Mart 3,E - New / One-Time,JADEN BLACK,2496.0,80.0,101.0,4.6,Quarterly (61-90 days),1.0344827586206897
Johnston Count Mart,D - Low & Slow,JADEN BLACK,1927.5,80.0,100.0,4.6,Quarterly (61-90 days),1.04
Fast Gas #3,C - Moderate Movers,Unassigned,4116.0,80.0,101.0,4.6,Quarterly (61-90 days),1.0312925170068026
Fast Stop #1134,B - Steady Performers,Unassigned,3996.0,80.0,100.0,4.6,Quarterly (61-90 days),1.043956043956044
Alpine Standard/Chevron,D - Low & Slow,Lamar Helm,792.0,80.0,101.0,4.6,Quarterly (61-90 days),1.0333333333333334
Fast Stop #1145,D - Low & Slow,Unassigned,1740.0,80.0,100.0,4.6,Quarterly (61-90 days),1.0420711974110033
Valley Wide - Meridian,D - Low & Slow,Unassigned,4020.0,80.0,101.0,4.6,Quarterly (61-90 days),1.0346938775510204
Joeys Place,E - New / One-Time,JADEN BLACK,1728.0,80.0,101.0,4.6,Quarterly (61-90 days),1.0344827586206897
Grocery Outlet - Columbus OH,E - New / One-Time,Unassigned,2366.0,80.0,100.0,4.6,Quarterly (61-90 days),1.0364583333333333
Lucky Stop 23,E - New / One-Time,Unassigned,2160.0,80.0,101.0,4.6,Quarterly (61-90 days),1.0344827586206897
M&W Howdy's,D - Low & Slow,Unassigned,3513.0,81.0,101.0,4.5,Quarterly (61-90 days),1.0304621848739495
Grocery Outlet - Escondido,C - Moderate Movers,Unassigned,4517.299999999999,81.0,102.0,4.5,Quarterly (61-90 days),1.018716577540107
Lee's Marketplace #810,D - Low & Slow,Unassigned,3480.0,81.0,101.0,4.5,Quarterly (61-90 days),1.0295081967213113
Grocery Outlet - King City,E - New / One-Time,Unassigned,1804.6499999999996,81.0,102.0,4.5,Quarterly (61-90 days),1.0205128205128204
J's Mini Mart,D - Low & Slow,Unassigned,1633.5,81.0,101.0,4.5,Quarterly (61-90 days),1.0288713910761154
Grocery Outlet - Tigard,E - New / One-Time,Unassigned,2156.4999999999995,81.0,102.0,4.5,Quarterly (61-90 days),1.0205128205128204
Essential Fuels #3,C - Moderate Movers,Unassigned,564.0,81.0,101.0,4.5,Quarterly (61-90 days),1.02803738317757
Good2Go #715,D - Low & Slow,Unassigned,763.5,81.0,101.0,4.5,Quarterly (61-90 days),1.0266666666666666
"Great smoky Mountain, Bait & Tackle",C - Moderate Movers,JADEN BLACK,2496.0,81.0,102.0,4.5,Quarterly (61-90 days),1.021978021978022
Grocery Outlet - El Centro,C - Moderate Movers,Unassigned,2814.7999999999997,81.0,101.0,4.5,Quarterly (61-90 days),1.0304347826086957
Ace Hardware-Buhl #457-001,D - Low & Slow,Unassigned,2860.0,81.0,102.0,4.5,Quarterly (61-90 days),1.019108280254777
Grocery Outlet - Lakeside,C - Moderate Movers,Unassigned,1089.6,82.0,103.0,4.5,Quarterly (61-90 days),1.0077519379844961
Grocery Outlet - Ontario Ohio,D - Low & Slow,Unassigned,2985.0499999999993,82.0,103.0,4.5,Quarterly (61-90 days),1.0082644628099173
Grocery Outlet - Burbank,E - New / One-Time,Unassigned,2360.7999999999997,82.0,102.0,4.5,Quarterly (61-90 days),1.0153061224489797
Good2Go #508,E - New / One-Time,Unassigned,792.0,82.0,103.0,4.5,Quarterly (61-90 days),1.0125
Hillview Chevron,D - Low & Slow,Lamar Helm,1728.0,82.0,103.0,4.5,Quarterly (61-90 days),1.0138888888888888
Fast Gas #12,D - Low & Slow,Unassigned,3888.0,82.0,102.0,4.5,Quarterly (61-90 days),1.0163265306122449
Parkland Silver Eagle #80187,E - New / One-Time,Unassigned,-504.0,82.0,103.0,4.5,Quarterly (61-90 days),1.0125
Grocery Outlet - Twentynine Palms,C - Moderate Movers,Unassigned,3541.2,82.0,103.0,4.5,Quarterly (61-90 days),1.0136054421768708
Good2Go #310,D - Low & Slow,Unassigned,1536.0,82.0,103.0,4.5,Quarterly (61-90 days),1.0078125
Bonsall Major Marketplace,B - Steady Performers,Unassigned,3360.0,82.0,103.0,4.5,Quarterly (61-90 days),1.0082101806239736
The Village Markets,D - Low & Slow,Unassigned,2832.0,82.0,103.0,4.5,Quarterly (61-90 days),1.0125603864734298
Fast Stop #1109,D - Low & Slow,Unassigned,3858.0,83.0,104.0,4.4,Quarterly (61-90 days),1.0028735632183907
Fast Gas #1,D - Low & Slow,Unassigned,2856.0,83.0,104.0,4.4,Quarterly (61-90 days),0.9962546816479402
Essential Fuels,E - New / One-Time,Merlin Gleed,780.0,83.0,104.0,4.4,Quarterly (61-90 days),1.0
Nehalem Food Mart,D - Low & Slow,Elijah Benedick,2664.0,84.0,105.0,4.3,Quarterly (61-90 days),0.9879032258064515
Zamzows-Chinden,C - Moderate Movers,Unassigned,1819.5,84.0,105.0,4.3,Quarterly (61-90 days),0.9924812030075187
Good2Go #307,E - New / One-Time,Unassigned,660.0,84.0,105.0,4.3,Quarterly (61-90 days),0.9864864864864865
Cedaredge Foodtown,D - Low & Slow,Jason Black,3408.0,84.0,105.0,4.3,Quarterly (61-90 days),0.9930555555555555
RALLYSTOP 16 - RALLYSTOP MARKET,D - Low & Slow,Unassigned,2976.0,84.0,105.0,4.3,Quarterly (61-90 days),0.9907894736842104
Fast Stop #1101,D - Low & Slow,Unassigned,972.0,84.0,106.0,4.3,Quarterly (61-90 days),0.9848484848484849
Exxon Jifi Stop Spirit Lake,D - Low & Slow,Ann Wheelock,2431.5,84.0,106.0,4.3,Quarterly (61-90 days),0.9823420074349442
M&W Harpo's Cascade,D - Low & Slow,Unassigned,1555.5,85.0,107.0,4.3,Quarterly (61-90 days),0.972972972972973
Dan's Ferry Service,D - Low & Slow,Bobbi Marshall,3324.0,85.0,106.0,4.3,Quarterly (61-90 days),0.9818181818181818
Kay's Quick Stop,D - Low & Slow,Ann Wheelock,2448.0,85.0,106.0,4.3,Quarterly (61-90 days),0.9811320754716981
Purdy Cost Less,D - Low & Slow,Natalie  Brydson,2112.0,85.0,106.0,4.3,Quarterly (61-90 days),0.978021978021978
Grocery Outlet - Parkrose,E - New / One-Time,Unassigned,0.0,85.0,106.0,4.3,Quarterly (61-90 days),0.9794871794871794
Parkland On The Run #80143,C - Moderate Movers,Unassigned,2056.5,86.0,108.0,4.2,Quarterly (61-90 days),0.9605263157894737
Shell Foodmart #101,D - Low & Slow,Merlin Gleed,864.0,86.0,108.0,4.2,Quarterly (61-90 days),0.9636363636363636
Grocery Outlet - Silverdale,E - New / One-Time,Unassigned,1316.6,86.0,108.0,4.2,Quarterly (61-90 days),0.9606299212598425
Moapa Paiute Travel Plaza,C - Moderate Movers,Jason Black,3456.0,86.0,107.0,4.2,Quarterly (61-90 days),0.97
Grocery Outlet - Victorville,D - Low & Slow,Unassigned,2088.4,86.0,108.0,4.2,Quarterly (61-90 days),0.967032967032967
Town Pump - Belgrade #2 - 0107-1013,D - Low & Slow,Unassigned,2376.0,86.0,108.0,4.2,Quarterly (61-90 days),0.9661835748792271
Grocery Outlet - Sandy,E - New / One-Time,Unassigned,2270.0,86.0,108.0,4.2,Quarterly (61-90 days),0.9646464646464646
Good2Go Parent Company::Good 2 Go #711,D - Low & Slow,Unassigned,1824.0,87.0,109.0,4.2,Quarterly (61-90 days),0.95679012345679
Alpine Village Market,B - Steady Performers,Lamar Helm,4440.0,87.0,109.0,4.2,Quarterly (61-90 days),0.954778156996587
Travel Stop 216 & Village of Trees,D - Low & Slow,Bobbi Marshall,2268.0,87.0,110.0,4.2,Quarterly (61-90 days),0.9486754966887416
Grocery Outlet - Fallbrook,C - Moderate Movers,Unassigned,3813.5999999999995,87.0,110.0,4.2,Quarterly (61-90 days),0.9497041420118343
River Mart,E - New / One-Time,Unassigned,1296.0,87.0,109.0,4.2,Quarterly (61-90 days),0.956140350877193
JLF Enterprises,E - New / One-Time,Merlin Gleed,2304.0,87.0,109.0,4.2,Quarterly (61-90 days),0.9556650246305419
Big A Convenience Store,D - Low & Slow,Unassigned,3204.0,87.0,109.0,4.2,Quarterly (61-90 days),0.9567757009345795
RALLYSTOP 3 - PROVIDENCE CHEVRON,D - Low & Slow,Unassigned,2964.0,87.0,109.0,4.2,Quarterly (61-90 days),0.9561904761904763
Fairview Grocery Outlet,C - Moderate Movers,Unassigned,1815.9999999999995,87.0,110.0,4.2,Quarterly (61-90 days),0.9491525423728814
Northwest Farm Supply,C - Moderate Movers,Merlin Gleed,3144.0,88.0,110.0,4.1,Quarterly (61-90 days),0.9428571428571428
Allied Gardens,C - Moderate Movers,Unassigned,2723.9999999999995,88.0,110.0,4.1,Quarterly (61-90 days),0.9426229508196722
Good2Go #213,C - Moderate Movers,Unassigned,2784.0,88.0,110.0,4.1,Quarterly (61-90 days),0.9435483870967742
Pump & Pak,D - Low & Slow,Unassigned,3192.0,88.0,110.0,4.1,Quarterly (61-90 days),0.9471830985915493
Nampa Grocery Outlet,C - Moderate Movers,Unassigned,2010.8999999999999,88.0,110.0,4.1,Quarterly (61-90 days),0.9453781512605042
Cameron Mini Mart,D - Low & Slow,Ann Wheelock,2496.0,89.0,112.0,4.1,Quarterly (61-90 days),0.93
KJ'S #80214,D - Low & Slow,Unassigned,2515.5,89.0,112.0,4.1,Quarterly (61-90 days),0.9294117647058824
Lee's Market-Herriman,D - Low & Slow,Unassigned,2781.0,89.0,112.0,4.1,Quarterly (61-90 days),0.9309734513274337
Fast Stop #1115,C - Moderate Movers,Unassigned,3072.0,89.0,112.0,4.1,Quarterly (61-90 days),0.9316546762589928
Cougar Foodmart,D - Low & Slow,Decker Larson,2203.5,90.0,112.0,4.1,Quarterly (61-90 days),0.9269162210338681
468 Market,D - Low & Slow,Lamar Helm,3264.0,90.0,112.0,4.1,Quarterly (61-90 days),0.9272419627749576
Bear Valley RV Campground Resort LLC,D - Low & Slow,Jason Black,3216.0,90.0,112.0,4.1,Quarterly (61-90 days),0.9264957264957264
Grocery Outlet - Lake Forest,C - Moderate Movers,Unassigned,2724.0,90.0,113.0,4.1,Quarterly (61-90 days),0.9233870967741935
Grocery Outlet - Bonners Ferry,D - Low & Slow,Unassigned,2617.4,90.0,113.0,4.1,Quarterly (61-90 days),0.9208333333333334
Fast Stop #2249,D - Low & Slow,Unassigned,1752.0,90.0,112.0,4.1,Quarterly (61-90 days),0.925
Fast Stop #1112,D - Low & Slow,Unassigned,1332.0,90.0,112.0,4.1,Quarterly (61-90 days),0.924924924924925
Grocery Outlet - Dayton,D - Low & Slow,Unassigned,3246.1,90.0,113.0,4.1,Quarterly (61-90 days),0.9176470588235295
Good2Go #423,E - New / One-Time,Unassigned,960.0,90.0,113.0,4.1,Quarterly (61-90 days),0.9204545454545454
Ace Hardware - Jackson WY,C - Moderate Movers,Lamar Helm,2496.0,90.0,113.0,4.1,Quarterly (61-90 days),0.9174757281553398
Gas N Shop #3,D - Low & Slow,Unassigned,1284.0,90.0,113.0,4.1,Quarterly (61-90 days),0.9190938511326862
Hurst Ace Hardware,C - Moderate Movers,InHouse Orders,3168.0,90.0,113.0,4.1,Quarterly (61-90 days),0.9206896551724137
Fast Stop #1135,D - Low & Slow,Unassigned,2544.0,91.0,115.0,4.0,Infrequent (90+ days),0.9071729957805907
Town Pump #1140,D - Low & Slow,Unassigned,3624.0,91.0,114.0,4.0,Infrequent (90+ days),0.9143426294820717
Grocery Outlet - Norco,D - Low & Slow,Unassigned,2633.2,91.0,115.0,4.0,Infrequent (90+ days),0.9079754601226994
Bee's Marketplace,E - New / One-Time,Unassigned,2496.0,91.0,114.0,4.0,Infrequent (90+ days),0.9090909090909091
Brookshire Brothers - Livingston,E - New / One-Time,Unassigned,864.0,91.0,114.0,4.0,Infrequent (90+ days),0.9125
Grocery Outlet - Emmett,C - Moderate Movers,Unassigned,2709.7,91.0,114.0,4.0,Infrequent (90+ days),0.916058394160584
The Dalles 6th Street Dino Mart,D - Low & Slow,Unassigned,3000.0,91.0,115.0,4.0,Infrequent (90+ days),0.9081081081081082
Lees Marketplace 4th West,D - Low & Slow,Andy Coon,1998.0,91.0,115.0,4.0,Infrequent (90+ days),0.907906976744186
Lynns Dakota Mart - Summerset,D - Low & Slow,Unassigned,766.5,92.0,115.0,4.0,Infrequent (90+ days),0.903688524590164
Colville Fuels Half Sun,D - Low & Slow,Ann Wheelock,2712.0,92.0,116.0,4.0,Infrequent (90+ days),0.8999999999999999
Sage Travel Plaza,D - Low & Slow,Unassigned,2451.0,92.0,115.0,4.0,Infrequent (90+ days),0.9014423076923077
Fast Stop #2242,D - Low & Slow,Unassigned,1912.5,92.0,116.0,4.0,Infrequent (90+ days),0.900383141762452
Grocery Outlet - Brawley,E - New / One-Time,Unassigned,2360.7999999999997,92.0,115.0,4.0,Infrequent (90+ days),0.9004524886877828
Valley Country Store Gooding,D - Low & Slow,Unassigned,3228.0,92.0,115.0,4.0,Infrequent (90+ days),0.9066666666666666
Walker Drug & General Store #806,D - Low & Slow,Unassigned,635.5999999999999,92.0,116.0,4.0,Infrequent (90+ days),0.9
Grocery Outlet - Huntington Beach,E - New / One-Time,Unassigned,2360.7999999999997,92.0,115.0,4.0,Infrequent (90+ days),0.9004524886877828
Coastal Pantry 3,D - Low & Slow,JADEN BLACK,2580.0,92.0,115.0,4.0,Infrequent (90+ days),0.9070680628272252
Moneta Farm and Home Supply,D - Low & Slow,Dale  Becker,1368.0,92.0,116.0,4.0,Infrequent (90+ days),0.9003436426116838
Grocery Outlet - Folsom,B - Steady Performers,Unassigned,2360.8,93.0,117.0,3.9,Infrequent (90+ days),0.8918918918918919
McKays Market Newport,C - Moderate Movers,Unassigned,3876.0,93.0,116.0,3.9,Infrequent (90+ days),0.8960863697705803
Grocery Outlet-Tustin,E - New / One-Time,Unassigned,2360.7999999999997,93.0,117.0,3.9,Infrequent (90+ days),0.8883928571428571
Quick Track #88,D - Low & Slow,Unassigned,1248.0,93.0,117.0,3.9,Infrequent (90+ days),0.8898305084745762
TP Gas,D - Low & Slow,Bobbi Marshall,1869.0,94.0,117.0,3.9,Infrequent (90+ days),0.8854166666666666
Town Pump - Bozeman #6 - 2215 - 1089,D - Low & Slow,Unassigned,2280.0,94.0,118.0,3.9,Infrequent (90+ days),0.8827586206896552
Fallbrook Major Market,E - New / One-Time,Unassigned,2496.0,94.0,118.0,3.9,Infrequent (90+ days),0.8823529411764706
Town Pump - Missoula #1- 0704-1319,D - Low & Slow,Unassigned,2748.0,94.0,118.0,3.9,Infrequent (90+ days),0.883248730964467
Papa's Market,D - Low & Slow,Lamar Helm,2304.0,94.0,118.0,3.9,Infrequent (90+ days),0.8818181818181818
Hemet Valle Vista Home Center,C - Moderate Movers,Devin Friebe,3744.0,95.0,119.0,3.8,Infrequent (90+ days),0.8756613756613756
Sourdough Lodge,D - Low & Slow,Bobbi Marshall,1824.0,95.0,119.0,3.8,Infrequent (90+ days),0.875
Archies - St. Maries,D - Low & Slow,Decker Larson,3024.0,95.0,120.0,3.8,Infrequent (90+ days),0.8695219123505976
Zamzows-Eagle,D - Low & Slow,Unassigned,1656.0,95.0,119.0,3.8,Infrequent (90+ days),0.8743169398907104
Town Pump - Miles City #1 - 8300-1315,D - Low & Slow,Unassigned,2244.0,95.0,119.0,3.8,Infrequent (90+ days),0.8711111111111112
First Stop Mart #2,E - New / One-Time,Unassigned,2496.0,95.0,119.0,3.8,Infrequent (90+ days),0.875
Farmers Union Oil (Richardton Cenex),D - Low & Slow,Merlin Gleed,3000.0,96.0,121.0,3.8,Infrequent (90+ days),0.8625
McKay's Market #9,B - Steady Performers,Unassigned,2172.0,96.0,120.0,3.8,Infrequent (90+ days),0.8632075471698113
Space Age Wasco,E - New / One-Time,Elijah Benedick,0.0,96.0,121.0,3.8,Infrequent (90+ days),0.8625
Town Pump - Townsend #1 - 1385,D - Low & Slow,Unassigned,2844.0,96.0,121.0,3.8,Infrequent (90+ days),0.8612612612612613
Rincon Travel Plaza,E - New / One-Time,Devin Friebe,2496.0,96.0,120.0,3.8,Infrequent (90+ days),0.8677685950413223
Miners Trading Post,C - Moderate Movers,Andy Coon,2424.0,97.0,122.0,3.8,Infrequent (90+ days),0.8540145985401459
Allyn Market,C - Moderate Movers,Eric Arnold,3264.0,97.0,122.0,3.8,Infrequent (90+ days),0.8540372670807453
Food Mart - Raleigh,D - Low & Slow,Unassigned,1410.0,97.0,121.0,3.8,Infrequent (90+ days),0.86
Good2Go #705,D - Low & Slow,Unassigned,2490.3,97.0,121.0,3.8,Infrequent (90+ days),0.856060606060606
Valley Country Store Menan,D - Low & Slow,Unassigned,2581.5,97.0,122.0,3.8,Infrequent (90+ days),0.8556149732620321
Rocky Mountain Supply Belgrade,D - Low & Slow,Unassigned,2076.0,97.0,121.0,3.8,Infrequent (90+ days),0.857843137254902
Grocery Outlet - Valley Springs,E - New / One-Time,Unassigned,2179.2,97.0,121.0,3.8,Infrequent (90+ days),0.8598130841121495
Cory's Valley Market,C - Moderate Movers,Lamar Helm,4248.0,97.0,122.0,3.8,Infrequent (90+ days),0.8523809523809524
Big Horn Coop. Riverton,D - Low & Slow,Merlin Gleed,1056.0,98.0,123.0,3.7,Infrequent (90+ days),0.8484848484848484
Grocery Outlet - Cloverdale,D - Low & Slow,Unassigned,2088.3999999999996,98.0,123.0,3.7,Infrequent (90+ days),0.8455414012738853
Cliff's Country Market-Caldwell,D - Low & Slow,Bobbi Marshall,1825.5,98.0,123.0,3.7,Infrequent (90+ days),0.8434108527131784
Grocery Outlet - Twin Falls,D - Low & Slow,Unassigned,2978.5,98.0,123.0,3.7,Infrequent (90+ days),0.8445378151260504
Sisters Oregon Sinclair,D - Low & Slow,Eric Arnold,2172.0,98.0,123.0,3.7,Infrequent (90+ days),0.8448844884488448
Grocery Outlet - Paramount,C - Moderate Movers,Unassigned,4000.0,98.0,122.0,3.7,Infrequent (90+ days),0.851010101010101
Grocery Outlet - Mountain Home,D - Low & Slow,Unassigned,1657.0999999999997,98.0,123.0,3.7,Infrequent (90+ days),0.8441247002398081
RALLYSTOP 6 - EXPRESS MART SHELL,E - New / One-Time,Unassigned,864.0,98.0,123.0,3.7,Infrequent (90+ days),0.8488372093023255
Fast Stop #1129,D - Low & Slow,Unassigned,2820.0,98.0,123.0,3.7,Infrequent (90+ days),0.8464285714285714
Grocery Outlet - Placentia,E - New / One-Time,Unassigned,1441.4499999999998,99.0,124.0,3.7,Infrequent (90+ days),0.8361344537815126
Grocery Outlet - El Cajon,E - New / One-Time,Unassigned,2360.7999999999997,99.0,124.0,3.7,Infrequent (90+ days),0.8361344537815126
Browns Mountain Market,D - Low & Slow,Decker Larson,2037.0,99.0,124.0,3.7,Infrequent (90+ days),0.8375
Country Market,D - Low & Slow,Abby Howerton,2712.0,99.0,124.0,3.7,Infrequent (90+ days),0.8379446640316206
Lees Marketplace MT. Green #10820,D - Low & Slow,Unassigned,2688.0,99.0,124.0,3.7,Infrequent (90+ days),0.8370370370370371
Grocery Outlet - San Ysidro,E - New / One-Time,Unassigned,2360.7999999999997,100.0,125.0,3.6,Infrequent (90+ days),0.8291666666666667
RALLYSTOP 7 - SPRINGDALE SHELL,D - Low & Slow,Unassigned,963.0,100.0,125.0,3.6,Infrequent (90+ days),0.8333333333333334
Escondido Major Market,E - New / One-Time,Unassigned,2496.0,100.0,125.0,3.6,Infrequent (90+ days),0.8333333333333334
Sturgeon Station Travel Center,D - Low & Slow,Ann Wheelock,2655.0,100.0,125.0,3.6,Infrequent (90+ days),0.8297872340425533
Basalt Store,D - Low & Slow,Andy Coon,1404.0,100.0,125.0,3.6,Infrequent (90+ days),0.8333333333333334
KJ'S #80217,D - Low & Slow,Unassigned,2653.5,101.0,127.0,3.6,Infrequent (90+ days),0.82183908045977
Stop N Go #12,D - Low & Slow,JADEN BLACK,2472.0,101.0,127.0,3.6,Infrequent (90+ days),0.8199643493761142
Good2Go #704,D - Low & Slow,Unassigned,639.0,101.0,127.0,3.6,Infrequent (90+ days),0.8203125
Zamzows-Overland,C - Moderate Movers,Unassigned,2092.5,101.0,126.0,3.6,Infrequent (90+ days),0.825
Grocery Outlet - Fortuna,C - Moderate Movers,Unassigned,4540.0,101.0,127.0,3.6,Infrequent (90+ days),0.8197424892703863
Grocery Outlet - Point Loma,C - Moderate Movers,Unassigned,3632.0,101.0,127.0,3.6,Infrequent (90+ days),0.8181818181818182
Friendly's Sinclair,D - Low & Slow,Lamar Helm,2856.0,102.0,127.0,3.6,Infrequent (90+ days),0.8163265306122449
Whammers Enterprises 1 LLC (Sinclair),C - Moderate Movers,InHouse Orders,2784.0,102.0,128.0,3.6,Infrequent (90+ days),0.8125
Stage Stop Station,E - New / One-Time,Jason Black,2496.0,102.0,128.0,3.6,Infrequent (90+ days),0.8108108108108109
Ace Hardware - Corning,E - New / One-Time,Paula Hemmen,2496.0,102.0,128.0,3.6,Infrequent (90+ days),0.8108108108108109
Fast Stop Express,E - New / One-Time,Unassigned,768.0,102.0,128.0,3.6,Infrequent (90+ days),0.8125
Good2Go #515,E - New / One-Time,Unassigned,168.0,102.0,128.0,3.6,Infrequent (90+ days),0.8125
Carter's Market,C - Moderate Movers,Andy Coon,3552.0,102.0,128.0,3.6,Infrequent (90+ days),0.8125
RallyStop #15,D - Low & Slow,Unassigned,2688.0,102.0,128.0,3.6,Infrequent (90+ days),0.8136200716845878
Ace Hardware Wingfield,C - Moderate Movers,Matthew  Jorgensen,2688.0,102.0,128.0,3.6,Infrequent (90+ days),0.8129496402877698
The Market - Sidney MT,E - New / One-Time,Unassigned,2496.0,103.0,129.0,3.5,Infrequent (90+ days),0.8045977011494253
Town Pump - Whitefish #1 - 1397,D - Low & Slow,Unassigned,2312.0,103.0,129.0,3.5,Infrequent (90+ days),0.8074534161490683
Short Trip 8,D - Low & Slow,JADEN BLACK,1344.0,103.0,129.0,3.5,Infrequent (90+ days),0.8034188034188035
Grocery Outlet - Happy Valley,E - New / One-Time,Unassigned,2360.7999999999997,103.0,130.0,3.5,Infrequent (90+ days),0.8024193548387096
Grocery Outlet - Bend,C - Moderate Movers,Unassigned,3995.2,103.0,129.0,3.5,Infrequent (90+ days),0.80622009569378
Grocery Outlet - Fontana,E - New / One-Time,Unassigned,2360.7999999999997,104.0,130.0,3.5,Infrequent (90+ days),0.7991967871485943
Palisade Dino Mart,E - New / One-Time,Andy Coon,600.0,104.0,130.0,3.5,Infrequent (90+ days),0.7983193277310925
Grocery Outlet - Highland,E - New / One-Time,Unassigned,2360.7999999999997,104.0,130.0,3.5,Infrequent (90+ days),0.7991967871485943
Ace Hardware-Blackfoot #457-023,C - Moderate Movers,Unassigned,2227.0,104.0,130.0,3.5,Infrequent (90+ days),0.8010139416983523
Grocery Outlet - Coeur D Alene,D - Low & Slow,Unassigned,2837.5,104.0,130.0,3.5,Infrequent (90+ days),0.8002232142857142
Alpine Country Store & RV Park 76,D - Low & Slow,Ann Wheelock,1920.0,104.0,131.0,3.5,Infrequent (90+ days),0.7956989247311828
Fast Stop #1141,D - Low & Slow,Unassigned,2865.0,104.0,130.0,3.5,Infrequent (90+ days),0.7999999999999999
Fast Stop #1146,E - New / One-Time,Unassigned,324.0,105.0,132.0,3.5,Infrequent (90+ days),0.7894736842105263
Grocery Outlet - Altadena,E - New / One-Time,Unassigned,2360.7999999999997,105.0,132.0,3.5,Infrequent (90+ days),0.7896825396825397
Reynolds Market,C - Moderate Movers,Lamar Helm,4608.0,106.0,132.0,3.4,Infrequent (90+ days),0.7854251012145749
Lee's Marketplace Foxboro,D - Low & Slow,Andy Coon,2044.5,106.0,133.0,3.4,Infrequent (90+ days),0.7799999999999999
Starmount BP,D - Low & Slow,Unassigned,780.0,106.0,133.0,3.4,Infrequent (90+ days),0.7835820895522388
Rosco's,E - New / One-Time,JADEN BLACK,1536.0,106.0,133.0,3.4,Infrequent (90+ days),0.7818181818181819
Fast Stop #2231,D - Low & Slow,Unassigned,2280.0,107.0,134.0,3.4,Infrequent (90+ days),0.7741935483870968
Farmers Supply Co-Op-Council,D - Low & Slow,Unassigned,2724.0,107.0,135.0,3.4,Infrequent (90+ days),0.7724449463579899
